sample,batch,class,order,time
2,1,lps,65,2
3,1,ctr,34,5
4,1,lps,51,5
5,1,ctr,62,12
6,1,lps,59,12
7,1,ctr,55,24
9,1,ctr,15,2
10,1,lps,10,2
11,1,ctr,47,5
12,1,lps,31,5
13,1,ctr,27,12
15,1,ctr,63,24
19,1,ctr,5,2
20,1,lps,30,2
21,1,ctr,8,5
23,1,ctr,69,12
24,1,lps,21,12
25,1,ctr,61,24
27,1,ctr,66,2
28,1,lps,26,2
29,1,ctr,41,5
30,1,lps,7,5
31,1,ctr,36,12
32,1,lps,50,12
33,1,ctr,19,24
34,1,lps,44,24
37,1,ctr,38,2
38,1,lps,12,2
39,1,ctr,58,5
43,1,ctr,29,12
44,1,lps,6,12
45,1,ctr,14,24
47,1,lps,20,24
51,1,ctr,48,2
53,1,ctr,17,5
55,1,ctr,9,12
56,1,lps,56,12
57,1,ctr,13,24
58,1,lps,42,24
59,1,ctr,22,2
60,1,lps,64,2
62,1,lps,35,5
63,1,ctr,24,12
65,1,ctr,57,24
66,1,lps,23,24
68,1,lps,33,5
71,1,lps,16,24
72,1,lps,37,12
76,1,lps,40,12
77,1,lps,45,5
79,1,ctr,52,5
80,1,lps,43,5
82,1,lps,49,24
84,1,lps,28,24
93,1,ctr,68,2
94,1,lps,54,2
QC01,1,,1,
QC02,1,,2,
QC03,1,,3,
QC04,1,,4,
QC05,1,,11,
QC06,1,,18,
QC07,1,,25,
QC08,1,,32,
QC09,1,,39,
QC10,1,,46,
QC11,1,,53,
QC12,1,,60,
QC13,1,,67,
QC14,1,,70,
