Name,RT [min],CCS,m/z meas.,M meas.,Original annotation,Molecular Formula,Annotations,AQ,Name for process,Lipidlynx bulk,Lipidlynx molecula species,Main Ion,ID confidence,Annotation Source,mSigma,MS/MS score,ppm,Structure,AQ Details,2,3,4,5,6,7,9,10,11,12,13,15,19,20,21,23,24,25,27,28,29,30,31,32,33,34,37,38,39,43,44,45,47,51,53,55,56,57,58,59,60,62,63,65,66,68,71,72,76,77,79,80,82,84,93,94
(25S)-5beta-spirostan-3beta-ol_417.33633_1.31_[M+H]+_low,1.31,216,417.33633,416.32905,(25S)-5beta-spirostan-3beta-ol,C27H44O3,Spectral Library - Bruker MetaboBASE Personal Library 3.0,20210,(25S)-5beta-spirostan-3beta-ol_417.336_1.31_[M+H]+_low,,,[M+H]+,low,Bruker MetaboBASE Personal Library 3.0,28.4,531.2,0.013,"InChI=1S/C27H44O3/c1-16-7-12-27(29-15-16)17(2)24-23(30-27)14-22-20-6-5-18-13-19(28)8-10-25(18,3)21(20)9-11-26(22,24)4/h16-24,28H,5-15H2,1-4H3/t16-,17-,18+,19-,20+,21-,22-,23-,24-,25-,26-,27+/m0/s1",MS/MS: Library; CCS: CCS-Predict,1.16676609,0.94850066,2.26378724,1.13681275,2.0221054,0.7029807,1.16666286,1.64983139,1.19371068,2.16065099,0.71921594,0.14094119,1.1290563,1.8309929,1.26781195,1.2687003,0.93977967,0.78260291,0.8378552,1.67281116,0.97722855,1.68512452,0.92578014,1.53682518,0.76557387,0.08982254,0.86903493,1.10408801,0.9576955,1.02083467,0.6304569,0.5232674,0.09846422,0.83807448,0.70707956,0.87657662,0.11769745,0.88902703,0.10931395,1.04548449,1.15558925,2.77716387,1.04653291,0.64812186,0.1083553,0.08691488,0.68692252,2.30573164,0.71655902,2.93775173,1.57787725,1.78991334,0.46765645,0.09562669,0.1000901,1.48820142
"(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,1 6,19-Docosahexaenoic acid_327.23287_1.88_[M-H]-_Medium",1.88,188,327.23287,328.2396,"(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,1 6,19-Docosahexaenoic acid",C22H32O2,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",20212,"(4Z,7Z,10Z,13Z,16Z,19Z)-4,7,10,13,1 6,19-Docosahexaenoic acid_327.233_1.88_[M-H]-_Medium",,,[M-H]-,Medium,Bruker MetaboBASE Personal Library 3.0,11.3,625.8,-0.281,"InChI=1S/C22H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h3-4,6-7,9-10,12-13,15-16,18-19H,2,5,8,11,14,17,20-21H2,1H3,(H,23,24)/b4-3-,7-6-,10-9-,13-12-,16-15-,19-18-",MS/MS: Library; CCS: CCS-Predict,0.8700635,0.925366,1.2484508,0.579125,1.3097069,1.1997067,0.8416094,1.0952731,0.9139567,1.1909614,0.5940772,1.0852371,0.9579525,1.2352825,0.9399559,0.8570952,0.5592022,0.8272153,0.8752291,1.0266022,0.6837161,1.0366422,0.7415039,1.8208259,0.8454165,0.8713451,0.7835596,0.7719761,0.9444851,0.6404197,0.6772936,1.0897897,1.144547,1.2870432,1.038211,0.7753948,0.741531,1.0966685,1.1325853,0.8843482,0.8828132,1.2634052,0.6456708,1.1988516,1.0368936,0.8408772,0.972357,1.4800418,1.089795,1.0956763,2.3083768,1.4437288,0.9076298,0.9428399,0.762204,1.1340464
.omega.-3 Arachidonic acid_303.2325_1.09_[M-H]-_low,1.09,181.3,303.2325,304.23977,.omega.-3 Arachidonic acid,C20H32O2,Spectral Library - Nist17_high_merged.msp,20020,.omega.-3 Arachidonic acid_303.233_1.09_[M-H]-_low,,,[M-H]-,low,Nist17_high_merged.msp,?,714.8,-1.513,,MS/MS: Library,1.2939937,1.0583279,1.0561154,1.4273263,1.7027431,0.8351968,0.6832527,0.591706,0.7870993,0.7489565,1.387349,1.1705669,0.8717775,1.0387927,0.7697828,1.4742927,1.6091964,1.116559,0.637481,1.0795026,1.3119666,1.1043354,1.2142185,1.4691694,1.1111943,0.8795071,1.0356812,0.1232948,1.3052213,1.4260787,1.1603395,0.9212007,1.9943172,0.7630581,0.7893604,1.2880986,1.7583997,1.4038647,0.8381928,1.0728945,0.8607717,0.8417643,1.3642055,0.9809396,1.4600025,0.9906054,1.231372,1.548303,1.630362,1.2220744,1.7360112,1.1588047,0.982782,1.1891489,1.3460763,0.8334406
"1,2-Distearoyl-sn-glycero-3-phospho-(1'-rac-glycerol)_777.56103_3.53_[M-H]-_low",3.53,280.9,777.56103,778.56831,"1,2-Distearoyl-sn-glycero-3-phospho-(1'-rac-glycerol)",C42H83O10P,Spectral Library - Nist17_high_merged.msp,10120,"1,2-Distearoyl-sn-glycero-3-phospho-(1'-rac-glycerol)_777.561_3.53_[M-H]-_low",,,[M-H]-,low,Nist17_high_merged.msp,98.1,949.4,-5.176,,MS/MS: Library,0.82950905,0.98323116,0.99367953,0.84546572,0.99392358,1.18178878,0.85447993,0.83596402,0.81885478,1.0597658,1.00798266,0.94973409,0.78208422,1.12869727,1.07752113,0.11259252,1.13498402,0.07890961,0.74278579,0.91298464,1.07454674,0.93813512,0.94493085,0.96871871,0.75280402,1.01733296,0.86294831,0.69286103,1.47761257,1.01481102,0.99486665,0.89557977,1.24952273,0.4345053,0.71689912,1.04861167,1.13133415,0.81175318,1.05922498,0.81620206,0.08403895,1.03020614,0.94077442,0.97731155,1.27307786,1.09782187,0.86413151,1.13737987,1.1261759,0.92484342,1.83903422,1.05654863,0.84546018,1.06027306,0.79551208,0.92783238
11(S)-HETE_319.22734_1.12_[M-H]-_Medium,1.12,182.6,319.22734,320.23462,11(S)-HETE,C20H32O3,"Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0, Spectral Library - Bruker MetaboBASE Personal Library 3.0",20212,11(S)-HETE_319.227_1.12_[M-H]-_Medium,FA20:4<+16>,FA20:4<+16>,[M-H]-,Medium,Bruker MetaboBASE Personal Library 3.0,18.3,655.2,-1.459,"InChI=1S/C20H32O3/c1-2-3-4-5-7-10-13-16-19(21)17-14-11-8-6-9-12-15-18-20(22)23/h6-7,9-11,13-14,16,19,21H,2-5,8,12,15,17-18H2,1H3,(H,22,23)/b9-6-,10-7-,14-11-,16-13+/t19-/m1/s1",MS/MS: Library; CCS: CCS-Predict,0.9855079,0.7903304,1.3933965,0.7634244,1.6208798,0.8480254,1.2317364,1.0600789,1.3850994,1.1279045,0.7969429,0.766831,0.7578835,1.1772837,1.5189699,0.9599942,0.6642088,0.8040269,1.1649384,1.4373952,0.93035,1.1010472,0.9569506,1.4001382,1.1088589,0.7914993,0.8607681,0.8404758,0.8936714,0.7385445,0.8020655,0.7594703,1.3127234,1.5064942,1.2623646,1.0436716,0.7045319,1.2263518,1.0610986,1.0039955,0.9345845,1.5080168,0.922247,0.1032406,0.9999046,1.1356532,0.7922039,3.1312782,1.0657265,1.2906899,0.9509336,2.7029008,0.8824093,0.6074268,1.1473934,1.3107584
12-Hydroxy-12-octadecanoylcarnitine_482.32408_1.16_[M+K]+_low,1.16,227.6,482.32408,443.36092,12-Hydroxy-12-octadecanoylcarnitine,C25H49NO5,Target List - HMDB carnitines aug 2023,20220,12-Hydroxy-12-octadecanoylcarnitine_482.324_1.16_[M+K]+_low,,,[M+K]+,low,HMDB carnitines aug 2023,37.6,889.9,-0.317,"InChI=1S/C25H49NO5/c1-5-6-7-14-17-22(27)18-15-12-10-8-9-11-13-16-19-25(30)31-23(20-24(28)29)21-26(2,3)4/h22-23,27H,5-21H2,1-4H3",MS/MS: MetFrag,0.9641008,0.8869461,0.8115153,1.2959263,0.8747945,1.0683715,0.9324896,0.8867755,1.2003796,0.7375627,1.4017273,0.9069878,0.951606,0.9932373,1.3138662,2.2416167,1.1789576,1.0144092,0.8656098,1.0212989,0.8951273,0.853848,0.9167944,0.8604101,1.0667753,0.8035443,1.016613,1.0295548,1.4458127,1.7694942,1.358652,1.0057084,1.1929857,1.1836889,0.990613,1.5712862,1.3242074,1.2017874,0.9636925,0.9092766,1.3298757,0.9060837,1.4768532,0.8185587,1.3562187,0.906291,1.1159156,0.7830249,1.105261,0.8611411,1.4755151,0.8087215,1.205183,1.2305886,0.9495779,0.926401
12-Hydroxy-12-octadecanoylcarnitine_444.36847_1.41_[M+H]+_low,1.41,227.6,444.36847,443.36119,12-Hydroxy-12-octadecanoylcarnitine,C25H49NO5,Target List - HMDB carnitines aug 2023,20122,12-Hydroxy-12-octadecanoylcarnitine_444.368_1.41_[M+H]+_low,,,[M+H]+,low,HMDB carnitines aug 2023,74.7,1000,0.452,"InChI=1S/C25H49NO5/c1-5-6-7-14-17-22(27)18-15-12-10-8-9-11-13-16-19-25(30)31-23(20-24(28)29)21-26(2,3)4/h22-23,27H,5-21H2,1-4H3",MS/MS: MetFrag; CCS: CCS-Predict,1.46484949,0.62918938,1.10853701,1.34845044,1.29397696,1.60812691,0.68440856,1.2186234,0.56584867,1.59697565,0.08222532,0.67967267,0.92751282,1.3349013,1.0907675,0.67522183,1.63201813,1.40761162,0.97811765,1.08253828,0.94182819,0.99882599,1.22128804,1.862863,1.38335421,1.39690533,0.42976217,1.18477218,0.69398103,0.10096624,0.61737432,1.4067083,1.38237399,1.41581011,1.11542327,0.46645298,1.24282647,1.34083037,1.65204737,0.72004733,1.41651964,1.05053996,1.06747679,2.2336297,1.35462879,1.50402595,1.28979284,1.42243346,2.15538988,1.89141037,1.46929488,1.27712189,1.21183505,1.52516007,1.15369338,1.57356005
16:0-succinoyl PC_596.35586_1.3_[M+H]+_High,1.3,245.6,596.35586,595.34859,16:0-succinoyl PC,C28H54NO10P,Spectral Library - Avanti Metlin mod.msp,20222,16:0-succinoyl PC_596.356_1.3_[M+H]+_High,,,[M+H]+,High,Avanti Metlin mod.msp,21.4,998.3,0.091,"InChI=1S/C28H54NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(32)36-23-25(39-28(33)20-19-26(30)31)24-38-40(34,35)37-22-21-29(2,3)4/h25H,5-24H2,1-4H3,(H-,30,31,34,35)",MS/MS: Library; CCS: CCS-Predict,1.2555589,0.8465354,1.0536508,1.0359553,0.6734935,0.3465226,1.6264254,0.8902364,1.3288781,0.9460107,0.909874,1.4044076,0.9360851,0.6525991,1.0712588,1.0590757,1.2474763,0.8737925,1.4048324,1.6570516,1.3873114,1.2006085,0.7883822,0.7495154,1.2329242,1.6233525,1.9591765,1.3478943,0.7562642,1.0330275,0.8623136,1.6055937,0.6930299,0.6399925,1.3846788,1.1668781,1.3209071,0.5933281,0.6347916,1.5984495,0.5465892,1.8741096,0.7615505,1.0233885,0.5771051,1.6490552,0.3848214,0.46161,0.5691746,0.5181211,3.0430851,0.5581366,0.8014454,1.3638568,0.8300652,1.2712552
16:0-succinoyl PC_594.34015_1.3_[M-H]-_low,1.3,241.7,594.34015,595.34742,16:0-succinoyl PC,C28H54NO10P,Spectral Library - Avanti Metlin mod.msp,20211,16:0-succinoyl PC_594.34_1.3_[M-H]-_low,,,[M-H]-,low,Avanti Metlin mod.msp,25.6,638.5,-1.741,"InChI=1S/C28H54NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(32)36-23-25(39-28(33)20-19-26(30)31)24-38-40(34,35)37-22-21-29(2,3)4/h25H,5-24H2,1-4H3,(H-,30,31,34,35)",MS/MS: Library; CCS: CCS-Predict,1.20586605,0.83034169,0.98032957,1.09250571,0.61731887,0.33362178,1.46776744,0.98216462,1.26894666,0.83776297,1.08723836,1.19547031,0.81226427,0.72826836,1.08139418,1.10316457,1.0577643,0.77160368,1.23888562,1.34943742,1.21026894,1.11803466,0.69016348,0.73208585,1.25238552,1.54957424,1.60510948,1.5251917,0.718016,0.88995652,0.91205487,1.52038312,0.6433585,0.56480047,1.58121777,1.18639068,1.30332364,0.60962384,0.60844166,1.39285381,0.06886073,1.4665883,0.64324077,0.92866853,0.47493468,1.48251765,0.36785877,0.4841185,0.54455428,0.52639625,2.08690524,0.53138965,0.72722649,1.13439377,0.77175766,1.06916814
