Name,RT [min],CCS,m/z meas.,Ions,Original annotation,Molecular Formula,Name for process,Lipidlynx name bulk,Lipidlynx name molecular species,ID confidence,20w1-1,20w1-2,20w1-3,20w2-1,20w2-2,20w2-3,13w-1,13w-2,13w-3,CBO1,CBO2,CBO3,FBO1,FBO2,FBO3,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08
Virginiamycin component b_524.24015_0.63_Medium,63,218,52424015,[M-H]-,Virginiamycin component b,C28H35N3O7,Virginiamycin component b_524.24_0.63_[M-H]-_Medium,,,Medium,0.887841473,1.122469329,0.790307351,0.862634747,0.971031719,1.01766141,0.719561775,0.662780456,0.903963644,NA,NA,NA,NA,NA,NA,0.95148135,1.011308149,1.089797085,0.893800076,0.997689244,1.065442264,0.943632596,1.062747148
Ubidecarenone_880.71911_5.72_low,572,3061,88071911,"[M+NH4]+, [M+K]+, [M+H]+, [M+Na]+",Ubidecarenone,C59H90O4,Ubidecarenone_880.719_5.72_[M+NH4]+_low,,,low,1.061057052,1.061920455,1.023029903,1.035543297,1.010286383,1.085493779,1.216616625,1.263481307,1.224471218,0.656605748,0.617834278,0.428717289,0.435087494,0.303052875,0.489350196,1.021380253,0.991044621,0.993546145,0.995137626,0.998726011,0.99134263,1.003004001,1.000155154
Ubidecarenone_880.71721_5.62_Medium,562,3047,88071721,[M+NH4]+,Ubidecarenone,C59H90O4,Ubidecarenone_880.717_5.62_[M+NH4]+_Medium,,,Medium,1.191876049,1.158514758,1.101616532,1.188060964,0.901054839,1.137210903,1.275415529,1.481424248,1.331044938,0.590117931,0.697040265,0.329233792,0.357106626,0.319588546,0.536104981,0.970119897,1.035306863,0.978785811,1.020006277,0.984501516,0.971376809,1.022874607,1.000623584
Tris(butoxyethyl)phosphate_399.25052_1.03_Medium,103,1974,39925052,[M+H]+,Tris(butoxyethyl)phosphate,C18H39O7P,Tris(butoxyethyl)phosphate_399.251_1.03_[M+H]+_Medium,,,Medium,0.719630508,0.737567514,0.976729283,0.849698657,0.779518531,0.946391721,3.658791192,3.107220507,2.861106015,NA,NA,NA,NA,NA,NA,1.031791181,1.013828052,0.926903046,1.044444404,0.936299178,1.064306363,1.006989166,0.937867465
TG(O-64:5)_1024.96088_7.71_low,771,3489,102496088,[M+NH4]+,TG O-20:0_22:1_22:4,C67H122O5,TG O-20:0_22:1_22:4_1024.961_7.71_[M+NH4]+_low,TG(O-64:5),TG(O-20:0_22:1_22:4),low,1.222088252,1.261879481,0.886439384,0.947117227,0.900772287,0.86372189,1.441494431,1.566198042,1.443729402,2.958595923,2.018574672,NA,NA,NA,NA,0.96178675,0.986156404,0.946826795,1.158761352,0.982186807,0.900055279,0.922703131,1.090194387
TG(O-62:5)_996.93008_7.53_low,753,3435,99693008,[M+NH4]+,TG O-18:1_22:1_22:3,C65H118O5,TG O-18:1_22:1_22:3_996.93_7.53_[M+NH4]+_low,TG(O-62:5),TG(O-18:1_22:1_22:3),low,0.878226897,0.80998679,0.786109603,0.624509414,0.606228711,0.575799163,1.409907021,1.29524827,1.380214046,3.574537182,2.22774783,0.878615211,NA,NA,NA,0.941764642,1.070884543,0.98834252,0.970991471,1.017961993,0.993579014,0.997943919,0.992858713
TG(O-62:4)_998.9459_7.71_low,771,3447,9989459,[M+NH4]+,TG O-18:0_22:1_22:3,C65H120O5,TG O-18:0_22:1_22:3_998.946_7.71_[M+NH4]+_low,TG(O-62:4),TG(O-18:0_22:1_22:3),low,0.491015786,0.462001088,0.472823259,0.325916893,0.283712009,0.285931122,0.896849056,0.823220522,0.950366235,4.561605271,3.449200714,1.061612935,NA,NA,NA,0.931417909,1.07661334,0.921855553,1.083810855,0.968822708,1.049075494,1.010522693,0.940320195
TG(O-62:3)_1000.96088_7.83_low,783,3452,100096088,[M+NH4]+,TG O-18:0_22:1_22:2,C65H122O5,TG O-18:0_22:1_22:2_1000.961_7.83_[M+NH4]+_low,TG(O-62:3),TG(O-18:0_22:1_22:2),low,0.578709716,0.559569181,0.478569254,NA,0.478104221,NA,1.438892357,1.344024078,1.193543265,3.178306001,2.775532227,NA,NA,NA,NA,0.901735186,1.104449654,0.989897732,1.020390478,0.884129361,0.990185296,1.032256753,1.034979819
TG(O-60:8)_962.85291_6.84_low,684,3334,96285291,[M+NH4]+,TG O-18:0_20:4_22:4,C63H108O5,TG O-18:0_20:4_22:4_962.853_6.84_[M+NH4]+_low,TG(O-60:8),TG(O-18:0_20:4_22:4),low,1.608269611,1.51718811,1.547985975,1.264717199,1.042522993,1.047344477,2.049722251,1.938629563,1.931170319,1.124681894,0.831251261,0.499133101,0.329177168,NA,0.41064837,0.98420026,0.976356356,1.061666751,0.954128429,1.001701492,1.029706738,0.973804691,0.940347892
TG(O-60:5)_968.89856_7.34_low,734,3381,96889856,[M+NH4]+,TG O-18:1_20:1_22:3,C63H114O5,TG O-18:1_20:1_22:3_968.899_7.34_[M+NH4]+_low,TG(O-60:5),TG(O-18:1_20:1_22:3),low,0.584652093,0.568281875,0.532479221,0.427567801,0.418707656,0.411684069,0.91345385,0.837442509,0.910442894,3.892737723,2.797056837,1.205452881,0.396651589,0.175676077,0.323971126,0.973629636,1.001967719,1.004524956,1.019747792,0.982671628,1.003767428,1.049783445,0.968816402
TG(O-60:4)_970.91512_7.51_low,751,3393,97091512,[M+NH4]+,TG O-16:0_22:1_22:3,C63H116O5,TG O-16:0_22:1_22:3_970.915_7.51_[M+NH4]+_low,TG(O-60:4),TG(O-16:0_22:1_22:3),low,0.430573905,0.409083743,0.369287144,0.303832798,0.26121656,0.258012385,0.78702789,0.619962355,0.768328639,5.250440831,3.887313965,1.179785371,0.247092719,0.1027915,0.166850001,0.970255342,0.978987727,1.013904436,1.027371618,1.080766254,0.962893503,0.982555907,1.001184166
TG(O-60:3)_972.93047_7.66_Medium,766,3402,97293047,[M+NH4]+,TG O-18:0_20:1_22:2,C63H118O5,TG O-18:0_20:1_22:2_972.93_7.66_[M+NH4]+_Medium,TG(O-60:3),TG(O-18:0_20:1_22:2),Medium,0.811865598,0.84383548,0.697252202,0.602120083,0.544030579,0.602883027,1.808919152,1.721506933,1.760439377,2.938557377,NA,0.87072064,0.145062069,0.119537315,NA,0.972242194,1.018469204,1.012873668,1.015177911,0.988914266,0.957969074,1.047516989,0.975481584
TG(O-60:2)_974.94667_7.84_low,784,3418,97494667,[M+NH4]+,TG O-18:0_20:1_22:1,C63H120O5,TG O-18:0_20:1_22:1_974.947_7.84_[M+NH4]+_low,TG(O-60:2),TG(O-18:0_20:1_22:1),low,0.828522609,0.705677534,0.609414182,0.668039571,0.617047383,0.611099213,1.727376864,1.655684089,1.703381899,2.591964989,2.583391562,0.994877641,0.25064252,0.198449213,0.240693311,0.98915537,0.968472107,1.052721379,0.99868474,1.015373826,0.981525554,1.005186632,0.968812708
